ring,line,sex,replicate,tarsus,Cause.Death,time,status,Mean.Egg.Size,Generation,family
A3322,H,Female,1,39.3,Natural Death,369,1,10.4905,6,A2524
A2642,H,Female,1,40.1,Natural Death,329,1,10.655,5,A1573
A3142,H,Female,1,35.8,Euthanised due to health reason,290,1,11.09809524,6,A2168
A3165,H,Female,1,39.5,Natural Death,440,1,11.52653846,6,A2678
A2054,H,Female,1,38.4,Natural Death,497,1,11.775,5,A1595
A2168,H,Female,1,38.8,Natural Death,738,1,11.81071429,5,A1532
A2678,H,Female,1,38.1,Natural Death,721,1,11.82461538,5,A1515
A3250,H,Female,1,40.2,Natural Death,378,1,11.9475,6,A2559
A3163,H,Female,1,38,Natural Death,309,1,11.98,6,A2168
A2734,H,Female,2,39.7,Natural Death,779,1,12.03346154,5,A1712
A3172,H,Female,2,39.3,Euthanised due to health reason,385,1,12.06541667,6,A2384
A2794,H,Female,2,38.2,Euthanised due to health reason,680,1,12.06615385,5,A1704
A2279,H,Female,2,39.2,Natural Death,442,1,12.10428571,5,A1761
A3205,H,Female,2,38.4,Natural Death,260,1,12.1536,6,A2794
A3168,H,Female,2,40.3,Natural Death,545,1,12.30368421,6,A2384
A3202,H,Female,2,37.3,Natural Death,292,1,12.4204,6,A2794
A3245,H,Female,1,38.5,Natural Death,397,1,12.49157895,6,A2566
A3227,H,Female,2,39.6,Euthanised due to health reason,434,1,12.49615385,6,A2893
A2865,H,Female,2,37.6,Natural Death,350,1,12.52181818,5,A1700
A3293,H,Female,2,42,Natural Death,321,1,12.53826087,6,A2734
A2398,H,Female,2,37.1,Natural Death,396,1,12.5895,5,A1674
A2384,H,Female,2,38.9,Natural Death,686,1,12.60538462,5,A1719
A2063,H,Female,1,40.5,Natural Death,764,1,12.80678571,5,A1595
A3290,H,Female,2,41,Natural Death,353,1,12.82857143,6,A2734
A2240,H,Female,2,41.4,Natural Death,717,1,12.92,5,A1772
A3207,H,Female,1,38.4,Natural Death,365,1,13.19807692,6,A2559
A2836,H,Female,2,39,Euthanised due to health reason,660,1,13.31115385,5,A1742
A2762,H,Female,2,39.1,Natural Death,697,1,13.32666667,5,A1691
A2548,H,Female,1,38.1,Euthanised due to health reason,645,1,13.46961538,5,A1637
A2559,H,Female,1,38.1,Natural Death,720,1,13.57761905,5,A1622
A2524,H,Female,1,36.9,Euthanised due to health reason,389,1,13.94708333,5,A1502
A3242,H,Female,2,40,Natural Death,353,1,13.9826087,6,A2762
A2058,L,Female,1,38.6,Euthanised due to health reason,423,1,7.2025,5,A1553
A2169,L,Female,1,37.1,Natural Death,728,1,9.100344828,5,A1553
A3144,L,Female,2,37,Natural Death,395,1,9.488153846,6,A2292
A2428,L,Female,2,39,Natural Death,414,1,9.849047619,5,A1686
A2292,L,Female,2,38.2,Natural Death,693,1,9.918846154,5,A1734
A2042,L,Female,1,37.8,Natural Death,773,1,9.966363636,5,A1614
A3265,L,Female,1,37.5,Euthanised due to health reason,383,1,10.0075,6,A2169
A2673,L,Female,1,36.9,Natural Death,338,1,10.03083333,5,A1524
A2357,L,Female,2,38.1,Euthanised due to health reason,730,1,10.23321429,5,A1734
A2679,L,Female,1,38.9,Euthanised due to health reason,701,1,10.29681818,5,A1582
A3231,L,Female,2,38.8,Natural Death,369,1,10.30708333,6,A2770
